Classifier,Precision,Recall,F1 Score,Accuracy,AUROC,Average Precision
Logistic Regression,0.7387425123895712,0.7083333333333334,0.7180339452854312,0.7249999999999999,0.7809027777777778,0.8103047742653562
Random Forest,0.8304664031620554,0.8166666666666667,0.8229681511827673,0.825,0.8850694444444445,0.8786012759850544
Decision Tree,0.7881573498964803,0.7416666666666667,0.7633598687702031,0.7708333333333334,0.7708333333333334,0.7154158040027606
Gradient Boosting,0.8331740723045071,0.7916666666666666,0.8106477541371158,0.8166666666666667,0.8972222222222221,0.8924527192740943
XGBoost,0.8391396011396012,0.8666666666666666,0.850366182836771,0.85,0.8913194444444444,0.8822245697341733
